,Date,GDP,GDP_Perc_Change,Real_Consumption,Real_Priv_Investment,Government_Expenditure,Exports,Imports,VIX,S&P500,UMC_Sentiment,Inflation_Rate,Nominal_Interest_Rate,Real_Interest_Rate
0,3/1/1959,3352.129,,2039.017,354.894,1142.671,89.697,115.44,,55.5167,,,2.57,
1,6/1/1959,3427.667,2.2534335641617664,2070.508,382.5,1156.74,88.981,121.057,,57.5067,95.3,0.1724536358399975,3.0833,2.90583514579954
2,9/1/1959,3430.057,0.06972672666276658,2092.138,357.798,1166.589,97.562,122.212,,58.73,,0.5164702358203099,3.5767,3.0445057979056944
3,12/1/1959,3439.832,0.28498068690987477,2094.495,369.442,1157.052,92.734,119.109,,57.7633,93.8,0.6052758680930248,3.99,3.3643604698672114
4,3/1/1960,3517.181,2.2486272585405365,2114.532,406.581,1137.363,104.686,123.608,,56.2767,100.0,0.09090909090907484,3.9333,3.8389009990917655
5,6/1/1960,3498.246,-0.5383572810156778,2141.205,368.686,1150.17,107.689,124.527,,56.07,93.3,0.6007477029734698,3.6967,3.077464499734539
6,9/1/1960,3515.385,0.4899312398270572,2132.646,367.749,1178.324,110.036,120.857,,55.72,97.2,0.05646985625546996,2.9367,2.87860459986482
7,12/1/1960,3470.278,-1.283131150642114,2135.408,327.01,1186.511,110.622,115.156,,55.3333,90.1,0.6421088205474934,2.2967,1.644034687709861
8,3/1/1961,3493.703,0.6750179668602918,2134.615,335.496,1204.136,109.861,114.599,,62.0033,91.6,0.2014775016789816,2.0033,1.7981995308310905
9,6/1/1961,3553.021,1.6978546831256214,2166.382,359.004,1207.172,104.748,115.998,,65.9833,92.5,-0.03351206434316634,1.7333,1.7674043580288457
10,9/1/1961,3621.252,1.9203657957552078,2176.916,386.914,1232.997,109.482,123.682,,66.83,99.2,0.39121689574255214,1.6833,1.2870479552004044
11,12/1/1961,3692.289,1.961669610399941,2220.704,393.316,1260.059,111.267,126.623,,70.2733,93.0,0.14459022196100513,2.4,2.252153384461497
12,3/1/1962,3758.147,1.7836631964615934,2244.227,414.522,1284.377,110.613,130.476,,69.86,99.9,0.389129709903302,2.4567,2.059555946018654
13,6/1/1962,3792.149,0.9047543909272315,2271.817,411.253,1290.924,116.97,133.323,,62.2233,95.4,0.37632819272785945,2.6067,2.222009758107224
14,9/1/1962,3838.776,1.2295666652338832,2290.126,418.241,1320.783,116.765,135.014,17.8889,57.83,91.6,0.2868960953011257,2.8467,2.5524809365585766
15,12/1/1962,3851.421,0.32940187184664627,2322.53,406.004,1329.937,112.988,136.664,19.1627,59.6167,95.0,0.24186071066794046,2.9233,2.674969588874254
16,3/1/1963,3893.482,1.0920904258454156,2338.799,427.366,1311.923,114.704,133.501,13.5864,65.55,98.4,0.3183015141540624,2.9667,2.639995340702872
17,6/1/1963,3937.183,1.122414332466426,2360.869,434.164,1312.902,123.873,136.644,11.9844,69.67,91.7,0.18571564506655314,2.9633,2.7724355084448815
18,9/1/1963,4023.755,2.1988309915998316,2392.896,447.531,1371.177,123.253,140.113,12.9359,70.9667,96.4,0.6114635496326848,3.33,2.7020146158854397
19,12/1/1963,4050.147,0.6559047456915268,2412.836,452.965,1357.005,128.07,139.654,18.0234,73.2733,94.4,0.2711588541666643,3.4533,3.1735358224605825
20,3/1/1964,4135.553,2.108713584963695,2460.191,469.918,1361.263,134.547,139.523,10.1269,77.5467,99.5,0.4113195664100955,3.4633,3.039478463950851
21,6/1/1964,4180.592,1.0890683785215627,2503.709,468.225,1373.511,133.998,142.663,12.4238,80.3,98.5,0.16165535079211146,3.49,3.3229728857327334
22,9/1/1964,4245.918,1.5626016602433346,2549.958,479.154,1375.153,138.193,146.492,11.8242,82.8767,100.6,0.2259522272433756,3.4567,3.2234642834138683
23,12/1/1964,4259.046,0.30919108659188677,2557.236,483.706,1374.59,140.975,150.454,11.9912,84.75,99.9,0.46151368760063427,3.5767,3.1008753482318463
24,3/1/1965,4362.111,2.4199081202691763,2614.265,529.824,1373.018,124.567,145.038,11.2962,86.5667,102.0,0.3100024684788094,3.9767,3.6553658072866924
25,6/1/1965,4417.225,1.263470828688229,2643.097,531.216,1389.271,145.419,162.154,14.6623,87.43,105.4,0.639181847235526,4.08,3.418964750714526
